"English","Rumi","Jawi"
"action","perbuatan","ڤربواتن"
"add","tambah","تمبه"
"adjust","laras","لارس"
"announce","umum","عموم"
"announce","umumkan","عمومکن"
"cause","mengakibatkan","مڠعاقبتکن"
"create","cipta","چيڤتا"
"consider","disyorkan","دشورکن"
"consider","mempertimbangkan","ممڤرتيمبڠکن"
"define","takrif","تعريف"
"defined","ditakrifkan","دتعريفکن"
"enjoy","nikmati","نعمتي"
"inform","memaklumkan","ممعلومکن"
"quote","petik","ڤتيق"
"report","lapor","لاڤور"
"report","laporkan","لاڤورکن"
"store","simpan","سيمڤن"
"suspense","saspens","سسڤينس"
"suspense","suspens","سوسڤين‌س"
"using","menggunakan","مڠݢوناکن"
"view","lihat","ليهت"